category,en,ja,ex,filename,has_mp3,recording
pitch,Man on!,後ろから来てるぞ！,Man on! Play it back!,Man_on.mp3,YES,original
pitch,Time!,フリーだ、余裕あるぞ,"Time, time! Take a touch.",Time.mp3,YES,original
pitch,Turn!,前を向け！,Turn! No one's on you.,Turn.mp3,YES,original
pitch,Switch it!,サイドを変えろ,Switch it! The left is free.,Switch_it.mp3,YES,original
pitch,Square!,横パスをくれ,Square it! I'm with you.,Square.mp3,YES,original
pitch,Down the line!,ライン際に出せ,Knock it down the line!,Down_the_line.mp3,YES,original
pitch,Cut it back!,マイナスに折り返せ,Get to the byline and cut it back!,Cut_it_back.mp3,YES,original
pitch,Second ball!,こぼれ球を拾え,"React! Second ball, lads!",Second_ball.mp3,YES,original
pitch,Keeper's!,キーパーのボールだ！,Keeper's! Leave it!,Keepers.mp3,YES,original
pitch,Away!,クリアしろ！,No risks! Get it away!,Away.mp3,YES,original
pitch,Stay big!,（GKへ）体を大きく見せろ,"One-on-one — stay big, keeper!",Stay_big.mp3,YES,original
pitch,Show him inside!,内側へ追い込め,"Show him inside, we've got cover.",Show_him_inside.mp3,YES,original
pitch,Track your runner!,走る相手に付いていけ,Track your runner! Don't ball-watch.,Track_your_runner.mp3,YES,original
pitch,Overlap,オーバーラップ,Hold it — the overlap is coming.,Overlap.mp3,YES,original
pitch,One-two,ワンツー,Give me a one-two on the edge.,One-two.mp3,YES,original
pitch,Put a shift in,全力で走り切る,Last ten minutes — put a shift in!,Put_a_shift_in.mp3,YES,original
pitch,Win your header!,ヘディングで競り勝て,Big lad's on you — win your header!,Win_your_header.mp3,YES,original
pitch,Drop!,下がれ！,Drop! Hold the line at the box.,Drop.mp3,YES,original
pitch,Squeeze!,ラインを押し上げろ,Squeeze up! Make it compact.,Squeeze.mp3,YES,original
pitch,Hold it up!,前線でキープしろ,Hold it up and wait for support.,Hold_it_up.mp3,YES,original
locker,Gaffer,監督（ボス）,The gaffer wants us in at nine.,Gaffer.mp3,YES,original
locker,Skipper,キャプテン,Skipper's doing the team talk today.,Skipper.mp3,YES,original
locker,Banter,からかい合い・軽口,"It's just banter, don't take it personal.",Banter.mp3,YES,original
locker,Sound,いいヤツ／「了解」,The new lad? He's sound.,Sound.mp3,YES,original
locker,Knackered,くたくたに疲れた,Double session today — I'm knackered.,Knackered.mp3,YES,original
locker,Gutted,超悔しい・ガッカリ,"Gutted we lost that one, to be fair.",Gutted.mp3,YES,original
locker,Buzzing,最高の気分,First goal for the club — buzzing!,Buzzing.mp3,YES,original
locker,Hairdryer treatment,監督の大目玉,We got the hairdryer treatment at half-time.,Hairdryer_treatment.mp3,YES,original
locker,Fuming,ブチギレている,The gaffer was fuming after that red card.,Fuming.mp3,YES,original
locker,Kickabout,軽い球蹴り・ミニゲーム,Fancy a kickabout after lunch?,Kickabout.mp3,YES,original
locker,Megs / Nutmeg,股抜き,Megs! That's a coffee you owe me.,Megs_Nutmeg.mp3,YES,original
locker,Top bins,ゴール上隅（に決める）,He smashed it top bins in training.,Top_bins.mp3,YES,original
locker,Worldie,世界レベルのスーパーゴール,Did you see his worldie yesterday?,Worldie.mp3,YES,original
locker,Howler,大チョンボ,The keeper had an absolute howler.,Howler.mp3,YES,original
locker,Sitter,絶対決めるべき決定機,I can't believe he missed that sitter.,Sitter.mp3,YES,original
locker,Rondo,ロンド（鳥かご）,"Warm-up starts with a rondo, lads.",Rondo.mp3,YES,original
locker,Dead leg,モモカン（太腿の打撲）,"I've got a dead leg, give me a minute.",Dead_leg.mp3,YES,original
locker,Plates,足（Cockneyスラング）,"Use your plates, son!",Plates.mp3,YES,original
locker,Have a word with yourself,しっかりしろよ（自分を見つめ直せ）,Late again? Have a word with yourself.,Have_a_word_with_yourself.mp3,YES,original
locker,Sorted,解決済み・準備OK,"Boots, kit, contract — all sorted.",Sorted.mp3,YES,original
comm,Clean sheet,無失点,The keeper keeps another clean sheet.,Clean_sheet.mp3,YES,original
comm,Park the bus,超守備的に引きこもる,They parked the bus for ninety minutes.,Park_the_bus.mp3,YES,original
comm,Route one,ロングボール一辺倒の戦術,It's route one football from the hosts.,Route_one.mp3,YES,original
comm,Against the run of play,試合の流れに反して,They scored against the run of play.,Against_the_run_of_play.mp3,YES,original
comm,Squeaky bum time,終盤の胃が痛い時間帯,Ten minutes left — squeaky bum time.,Squeaky_bum_time.mp3,YES,original
comm,Early doors,試合の序盤に,They pressed high early doors.,Early_doors.mp3,YES,original
comm,On a plate,お膳立てされた（決定機）,The cross put it on a plate for him.,On_a_plate.mp3,YES,original
comm,Hollywood ball,狙いすぎの派手なロングパス,That's a Hollywood ball — easily cut out.,Hollywood_ball.mp3,YES,original
comm,A game of two halves,前半と後半で別物の試合,Football is a game of two halves.,A_game_of_two_halves.mp3,YES,original
comm,Clinical,決定力がある,He's so clinical in front of goal.,Clinical.mp3,YES,original
comm,Off the woodwork,ポスト・バー直撃,Inches away — off the woodwork again!,Off_the_woodwork.mp3,YES,original
comm,Stoppage time,アディショナルタイム,Five minutes of stoppage time to play.,Stoppage_time.mp3,YES,original
comm,Six-pointer,直接対決（勝ち点6の価値）,This relegation six-pointer is huge.,Six-pointer.mp3,YES,original
comm,Relegation dogfight,残留争い,Both clubs are in a relegation dogfight.,Relegation_dogfight.mp3,YES,original
comm,Down to ten men,退場で10人に,They're down to ten men after the red.,Down_to_ten_men.mp3,YES,original
comm,Spot kick,PK,The referee points to the spot — spot kick!,Spot_kick.mp3,YES,original
comm,Set piece,セットプレー,They're dangerous from set pieces.,Set_piece.mp3,YES,original
comm,Pull one back,1点を返す,Can they pull one back before half-time?,Pull_one_back.mp3,YES,original
comm,See out the game,試合を締めて逃げ切る,Now they just need to see out the game.,See_out_the_game.mp3,YES,original
comm,Aplomb,落ち着き払って（決める）,He finished with real aplomb.,Aplomb.mp3,YES,original
paper,Swoop,電撃獲得（急襲）,United plot a January swoop for the striker.,Swoop.mp3,YES,original
paper,Snub,袖にする・移籍を拒否,Star snubs mega offer from rivals.,Snub.mp3,YES,original
paper,Axed,解任された・外された,Boss axed after five straight defeats.,Axed.mp3,YES,original
paper,Wantaway,移籍を望んでいる（選手）,The wantaway winger skipped training.,Wantaway.mp3,YES,original
paper,Hitman,点取り屋,Italian hitman tops the scoring charts.,Hitman.mp3,YES,original
paper,War chest,移籍資金,The new owner promises a £200m war chest.,War_chest.mp3,YES,original
paper,Tug-of-war,獲得を巡る争奪戦,A tug-of-war over the teenage prodigy.,Tug-of-war.mp3,YES,original
paper,Shock exit,電撃退団,Captain's shock exit stuns the dressing room.,Shock_exit.mp3,YES,original
paper,Transfer saga,長引く移籍劇,The transfer saga finally ends after months.,Transfer_saga.mp3,YES,original
paper,Deadline day,移籍市場最終日,Deadline day drama as the fax fails.,Deadline_day.mp3,YES,original
paper,Medical,メディカルチェック,He flies in tonight to undergo a medical.,Medical.mp3,YES,original
paper,Put pen to paper,契約にサインする,The defender puts pen to paper on a new deal.,Put_pen_to_paper.mp3,YES,original
paper,On the chopping block,解任・放出秒読み,The boss is on the chopping block again.,On_the_chopping_block.mp3,YES,original
paper,Silly season,移籍の噂が乱れ飛ぶ時期,Silly season rumours link him to ten clubs.,Silly_season.mp3,YES,original
paper,Flop,期待外れの選手,£80m flop set for a cut-price exit.,Flop.mp3,YES,original
paper,Journeyman,クラブを渡り歩く選手,The journeyman joins his eleventh club.,Journeyman.mp3,YES,original
paper,Caretaker boss,暫定監督,The caretaker boss takes charge on Saturday.,Caretaker_boss.mp3,YES,original
paper,Loan spell,レンタル移籍期間,A loan spell could revive his career.,Loan_spell.mp3,YES,original
paper,Release clause,契約解除金（リリース条項）,His release clause is set at £60m.,Release_clause.mp3,YES,original
paper,Gardening leave,（解任後の）自宅待機,The sacked boss is on gardening leave.,Gardening_leave.mp3,YES,original
pitch,Man on,後ろ来てる,"Man on, Taku!",Man_on.mp3,YES,original
pitch,Time,時間ある,"Time, turn!",Time.mp3,YES,original
pitch,Turn,前を向け,Turn and drive forward.,Turn.mp3,YES,original
pitch,Leave it,触るな,"Leave it, keeper\'s got it.",Leave_it.mp3,YES,daniel_tts
pitch,Away,クリアしろ,Away! Don\'t risk it.,Away.mp3,YES,original
pitch,Keeper\'s ball,キーパーのボール,"Keeper\'s ball, leave it.",Keeper\s_ball.mp3,YES,daniel_tts
pitch,Step,ラインを上げろ,Step up together.,Step.mp3,YES,daniel_tts
pitch,Drop,下がれ,"Drop, runner behind.",Drop.mp3,YES,original
pitch,Hold,待て,"Hold, don\'t dive in.",Hold.mp3,YES,daniel_tts
pitch,Squeeze,コンパクトに上げろ,Squeeze up!,Squeeze.mp3,YES,original
pitch,Press,奪いに行け,Press him now.,Press.mp3,YES,daniel_tts
pitch,Track,付いていけ,Track the runner.,Track.mp3,YES,daniel_tts
pitch,Cover,カバーしろ,Cover inside.,Cover.mp3,YES,daniel_tts
pitch,Screen,コースを切れ,Screen the pass.,Screen.mp3,YES,daniel_tts
pitch,Block,ブロックしろ,Block the shot.,Block.mp3,YES,daniel_tts
pitch,Switch,マークを受け渡せ,"Switch, I\'ve got him.",Switch.mp3,YES,daniel_tts
pitch,Recover,戻れ,Recover quickly.,Recover.mp3,YES,daniel_tts
pitch,Stay,そのまま,Stay there.,Stay.mp3,YES,daniel_tts
pitch,Tight,寄せろ,Stay tight.,Tight.mp3,YES,daniel_tts
pitch,Inside,中を切れ,Show him inside.,Inside.mp3,YES,daniel_tts
pitch,Outside,外を切れ,Show him outside.,Outside.mp3,YES,daniel_tts
pitch,Goal side,ゴール側を取れ,Get goal side.,Goal_side.mp3,YES,daniel_tts
pitch,Shoulder,肩越し確認,Check your shoulder.,Shoulder.mp3,YES,daniel_tts
pitch,Runner,ランナーだ,Runner coming.,Runner.mp3,YES,daniel_tts
pitch,Watch him,そいつ見ろ,Watch number nine.,Watch_him.mp3,YES,daniel_tts
pitch,Feet,足元へ,Play it to feet.,Feet.mp3,YES,daniel_tts
pitch,Into feet,足元に入れろ,"Into feet, not space.",Into_feet.mp3,YES,daniel_tts
pitch,Back,戻せ,Back if needed.,Back.mp3,YES,daniel_tts
pitch,Set,落とせ,Set me and go.,Set.mp3,YES,daniel_tts
pitch,Wall pass,壁パス,Use a wall pass.,Wall_pass.mp3,YES,daniel_tts
pitch,Through,スルーだ,Through if you can.,Through.mp3,YES,daniel_tts
pitch,Square,横へ,Square ball available.,Square.mp3,YES,original
pitch,Wide,ワイドへ,Play it wide.,Wide.mp3,YES,daniel_tts
pitch,Line,ライン際へ,Play down the line.,Line.mp3,YES,daniel_tts
pitch,Clip it,浮き球を入れろ,Clip it over.,Clip_it.mp3,YES,daniel_tts
pitch,Drive it,強く通せ,Drive it through.,Drive_it.mp3,YES,daniel_tts
pitch,Play simple,シンプルに,Play simple.,Play_simple.mp3,YES,daniel_tts
pitch,Play forward,前へ入れろ,Play forward quickly.,Play_forward.mp3,YES,daniel_tts
pitch,Recycle,作り直せ,Recycle possession.,Recycle.mp3,YES,daniel_tts
pitch,Keep it,キープしろ,Keep it for now.,Keep_it.mp3,YES,daniel_tts
pitch,Turn out,外へターン,Turn out and play.,Turn_out.mp3,YES,daniel_tts
pitch,First time,ダイレクトで,First time pass.,First_time.mp3,YES,daniel_tts
pitch,Go,行け,Go at him.,Go.mp3,YES,daniel_tts
pitch,Drive,運べ,Drive forward.,Drive.mp3,YES,daniel_tts
pitch,Run at him,仕掛けろ,Run at him.,Run_at_him.mp3,YES,daniel_tts
pitch,Take him on,抜きに行け,Take him on.,Take_him_on.mp3,YES,daniel_tts
pitch,Cross,クロス入れろ,Cross it early.,Cross.mp3,YES,daniel_tts
pitch,Cut back,マイナスへ,Cut it back.,Cut_back.mp3,YES,daniel_tts
pitch,Shoot,打て,Shoot!,Shoot.mp3,YES,daniel_tts
pitch,Hit it,振り抜け,Hit it first time.,Hit_it.mp3,YES,daniel_tts
pitch,Far post,ファーだ,Aim far post.,Far_post.mp3,YES,daniel_tts
pitch,Near post,ニアだ,Attack near post.,Near_post.mp3,YES,daniel_tts
pitch,Follow in,詰めろ,Follow in for rebounds.,Follow_in.mp3,YES,daniel_tts
pitch,Get in the box,ボックスへ入れ,Get in the box.,Get_in_the_box.mp3,YES,daniel_tts
pitch,Attack the box,ゴール前へ飛び込め,Attack the box aggressively.,Attack_the_box.mp3,YES,daniel_tts
pitch,Arrive late,遅れて入れ,Arrive late in the box.,Arrive_late.mp3,YES,daniel_tts
pitch,Underlap,アンダーラップ,Make an underlap run.,Underlap.mp3,YES,daniel_tts
pitch,Switch play,展開を変えろ,Switch play quickly.,Switch_play.mp3,YES,daniel_tts
pitch,Play wide,ワイドを使え,Play wide and stretch them.,Play_wide.mp3,YES,daniel_tts
pitch,Inside run,中へ走れ,Make an inside run.,Inside_run.mp3,YES,daniel_tts
pitch,Outside run,外へ走れ,Make an outside run.,Outside_run.mp3,YES,daniel_tts
pitch,Double up,2人で挟め,Double up on him.,Double_up.mp3,YES,daniel_tts
pitch,Force him wide,外へ追い込め,Force him wide.,Force_him_wide.mp3,YES,daniel_tts
pitch,Show him outside,外へ誘導しろ,Show him outside.,Show_him_outside.mp3,YES,original
pitch,Show him inside,中へ誘導しろ,Show him inside.,Show_him_inside.mp3,YES,original
pitch,Delay,時間を稼げ,Delay the attack.,Delay.mp3,YES,daniel_tts
pitch,Contain,対応し続けろ,Contain him.,Contain.mp3,YES,daniel_tts
pitch,Drop off,距離を取れ,Drop off a little.,Drop_off.mp3,YES,original
pitch,Hold shape,形を保て,Hold your shape.,Hold_shape.mp3,YES,daniel_tts
pitch,Stay compact,コンパクトに,Stay compact.,Stay_compact.mp3,YES,daniel_tts
pitch,Win it,奪い切れ,Win it now.,Win_it.mp3,YES,daniel_tts
